Country,Code (alpha-3),Renewable energy production (%),Solar Photovoltaic (GWh),Solar Thermal (GWh),Onshore wind energy (GWh),Offshore wind energy (GWh),Renewable hydropower (GWh),Mixed hydro plants (GWh),Marine energy (GWh),Solid biofuels (GWh),Renewable municipal waste (GWh),Liquid biofuels (GWh),Biogas (GWh),Geothermal energy (GWh),Pumped storage (GWh),Coal and peat (GWh),Oil (GWh),Natural gas (GWh),Fossil fuels unspecified (GWh),Nuclear (GWh),Other non-renewable energy (GWh)
Palau,PLW,5.13,4.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.739,0.0,0.0,0.0,0.0
"Palestine, State of",PSE,,,,,,,,,,,,,,,,,,,,
Panama,PAN,81.72,657.481,0.0,530.24,0.0,8154.34,0.0,0.0,232.2,0.0,0.0,22.46,0.0,0.0,76.15,516.28,1554.01,0.0,0.0,0.0
Papua New Guinea,PNG,53.1,5.287,0.0,0.0,0.0,1010.733,0.0,0.0,4.46,0.0,0.0,28.035,96.0,0.0,0.0,950.945,768.782,0.0,0.0,0.0
Paraguay,PRY,100.0,0.752,0.0,0.035,0.0,40574.3,0.0,0.0,259.692,0.0,0.0,13.042,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0
Peru,PER,61.67,861.181,0.0,1822.575,0.0,31925.681,0.0,0.0,528.226,0.0,0.0,64.887,0.0,0.0,28.355,1783.128,20066.326,0.0,0.0,2.672
Philippines,PHL,21.91,,,,,,,,,,,,,,,,,,,
Pitcairn,PCN,,,,,,,,,,,,,,,,,,,,
Poland,POL,17.03,3934.448,0.0,16233.547,0.0,2339.182,0.0,0.0,6398.045,353.807,35.6,1307.333,0.0,761.595,129810.213,2004.549,15823.706,0.0,0.0,662.995
Portugal,PRT,61.87,2237.164,0.0,13164.175,51.439,11907.543,0.0,0.0,3391.557,343.366,0.0,267.632,178.549,1547.086,800.0,1231.74,15573.85,0.0,0.0,285.46
Puerto Rico,PRI,4.58,678.76,0.0,165.69,0.0,39.708,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,3261.81,7247.07,8201.9,0.0,0.0,0.0
Qatar,QAT,0.27,8.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.096,0.0,28.292,0.0,0.0,0.0,0.0,51641.0,0.0,0.0,134.388
Réunion,REU,,,,,,,,,,,,,,,,,,,,
Romania,ROU,44.3,1703.35,0.0,6575.55,0.0,17411.941,0.0,0.0,579.874,0.0,0.0,72.925,0.0,333.067,10846.129,756.093,9907.009,0.0,11284.32,0.006
Russian Federation,RUS,21.58,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,58.25,36.058,0.0,0.0,0.0,557.092,0.0,0.0,2.191,0.0,0.0,0.0,0.0,0.0,55.704,158.171,212.888,0.0,0.0,0.0
Saint Barthélemy,BLM,,,,,,,,,,,,,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",SHN,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,KNA,4.52,4.759,0.0,5.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.082,0.0,0.0,0.0,0.0
Saint Lucia,LCA,2.54,7.558,0.0,0.0,0.0,0.0,0.0,0.0,2.628,0.0,0.0,0.0,0.0,0.0,0.0,390.218,0.0,0.0,0.0,0.0
Saint Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,SPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.703,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,15.02,2.33,0.0,0.0,0.0,19.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.953,0.0,0.0,0.0,0.0
Samoa,WSM,49.14,23.008,0.0,0.199,0.0,46.85,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,82.862,0.0,0.0,0.0,0.0
San Marino,SMR,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,6.06,0.211,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.334,0.0,0.0,0.0,0.0
Saudi Arabia,SAU,0.07,112.336,148.92,5.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169180.59,236768.187,0.0,0.0,0.0
Senegal,SEN,12.54,381.439,0.0,399.86,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,109.36,3118.291,6.38,0.0,0.0,0.0
Serbia,SRB,33.11,59.399,0.0,1084.541,0.0,11284.41,0.0,0.0,19.628,0.0,0.0,227.643,0.0,699.817,23820.044,11.308,1069.254,0.0,0.0,5.362
Seychelles,SYC,4.51,14.974,0.0,5.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.119,0.0,0.0,0.0,0.0
Sierra Leone,SLE,75.28,6.176,0.0,0.0,0.0,228.167,0.0,0.0,9.303,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
Singapore,SGP,4.06,561.0,0.0,0.35,0.0,0.0,0.0,0.006,223.2,418.4,0.0,0.0,0.0,0.0,669.5,557.9,52943.8,0.0,0.0,418.4
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,
Slovakia,SVK,22.58,671.0,0.0,5.0,0.0,4258.0,0.0,0.0,1325.0,32.0,0.0,487.0,0.0,294.0,2217.0,403.0,4366.0,0.0,15730.0,228.0
Slovenia,SVN,34.32,453.113,0.0,5.593,0.0,4712.511,0.0,0.0,169.224,0.0,5.617,102.642,0.0,284.556,3848.316,57.453,521.305,0.0,5705.951,10.641
Solomon Islands,SLB,6.56,3.134,0.0,0.0,0.0,0.891,0.0,0.0,2.756,0.0,0.0,0.0,0.0,0.0,0.0,96.65,0.0,0.0,0.0,0.0
Somalia,SOM,11.21,36.719,0.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0
South Africa,ZAF,5.16,6972.154,1554.002,266.0,0.0,1824.774,0.0,0.0,364.4,0.0,0.0,45.3,0.0,4756.0,184314.25,1741.319,0.0,0.0,11742.0,0.0
South Georgia and the South Sandwich Islands,SGS,,0.0,0.0,0.011,0.0,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Sudan,SSD,0.35,1.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0
Spain,ESP,45.84,21922.0,5176.0,62050.0,11.0,29626.0,0.0,19.0,5095.0,854.551,14.0,979.0,0.0,3221.0,6014.0,10044.0,71502.0,0.0,56564.0,1220.449
Sri Lanka,LKA,51.29,640.065,0.0,645.2,0.0,7215.493,0.0,0.0,92.836,35.006,0.0,0.022,0.0,0.0,5519.0,2631.0,0.0,40.231,0.0,35.006
Sudan,SDN,60.79,,,,,,,,,,,,,,,,,,,
Suriname,SUR,53.68,12.592,0.0,0.0,0.0,847.336,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,742.079,0.0,0.0,0.0,0.0
Svalbard and Jan Mayen,SJM,,,,,,,,,,,,,,,,,,,,
Sweden,SWE,67.37,1526.0,0.0,26697.0,547.0,73885.0,0.0,0.0,11174.0,1813.0,83.0,12.0,0.0,41.0,745.0,348.0,282.0,0.0,52965.0,1680.0
Switzerland,CHE,63.62,2842.0,0.0,146.0,0.0,36964.0,0.0,0.0,553.0,1108.0,0.0,405.0,0.0,2931.0,0.0,32.0,505.0,0.0,19364.0,1192.0
Syrian Arab Republic,SYR,3.28,,,,,,,,,,,,,,,,,,,
"Taiwan, Province of China",TWN,,,,,,,,,,,,,,,,,,,,
Tajikistan,TJK,92.77,0.0,0.0,0.0,0.0,19347.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.61,0.0,627.489,0.0,0.0,0.0
"Tanzania, United Republic of",TZA,,,,,,,,,,,,,,,,,,,,
Thailand,THA,18.75,5011.149,5.475,3555.921,0.0,4273.431,0.0,0.0,20569.623,195.152,0.0,2494.505,1.45,513.2,36064.625,716.372,113112.859,0.0,0.0,195.152
Timor-Leste,TLS,0.41,0.551,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.208,0.0,0.0,0.0,0.0
Togo,TGO,20.66,72.548,0.0,0.0,0.0,85.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.274,591.943,0.0,0.0,0.0
Tokelau,TKL,92.11,1.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0
Tonga,TON,14.2,7.862,0.0,2.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.383,0.0,0.0,0.0,0.0
Trinidad and Tobago,TTO,0.07,6.228,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.744,9166.371,0.0,0.0,38.586
Tunisia,TUN,2.9,164.001,0.0,425.1,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,20658.9,0.0,0.0,0.0
Turkey,TUR,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,0.01,0.0,0.0,0.0,0.0,3.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23730.12,0.0,0.0,0.0
Turks and Caicos Islands,TCA,1.48,3.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0
Tuvalu,TUV,15.81,1.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.137,0.0,0.0,0.0,0.0
Uganda,UGA,97.84,140.274,0.0,0.0,0.0,4279.218,0.0,0.0,329.364,0.0,0.0,0.0,0.0,0.0,0.0,104.954,0.0,0.0,0.0,0.0
Ukraine,UKR,11.44,7141.437,0.0,3510.607,0.0,5728.8,0.0,0.0,284.0,0.0,0.0,471.4,0.0,1835.0,40040.6,252.0,14194.8,0.0,76202.7,129.1
United Arab Emirates,ARE,4.19,,,,,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,,,,,,,,,,,,,,,,,,,,
United States of America,USA,19.8,,,,,,,,,,,,,,,,,,,
United States Minor Outlying Islands,UMI,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,84.53,483.444,0.0,4991.309,0.0,5272.828,0.0,0.0,2735.257,0.0,0.0,9.549,0.0,0.0,0.0,2463.426,6.027,0.0,0.0,0.0
Uzbekistan,UZB,7.74,49.0,0.0,1.2,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12479.741,315.653,47376.406,0.0,0.0,0.0
Vanuatu,VUT,25.49,7.284,0.0,4.13,0.0,8.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.21,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),VEN,84.24,8.647,0.0,89.43,0.0,62515.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2,11656.323,0.0,0.0,0.0
Viet Nam,VNM,42.79,25717.49,0.0,1816.429,576.771,75840.004,0.0,0.0,327.528,31.799,0.0,21.086,0.0,0.0,113864.0,2.0,25607.0,0.0,0.0,31.799
Virgin Islands (British),VGB,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,WLF,,,,,,,,,,,,,,,,,,,,
Western Sahara,ESH,,,,,,,,,,,,,,,,,,,,
Yemen,YEM,16.88,497.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,410.0,0.0,0.0,0.0
Zambia,ZMB,92.02,160.558,0.0,0.0,0.0,16074.883,0.0,0.0,74.526,0.0,0.0,0.0,0.0,0.0,1296.616,118.647,0.0,0.0,0.0,0.0
Zimbabwe,ZWE,71.26,59.232,0.0,0.0,0.0,6014.76,0.0,0.0,142.999,0.0,0.0,0.0,0.0,0.0,2507.79,0.0,0.0,0.0,0.0,0.0
